// Note average FPS was incorrectly divided by 12 instead of 10. Processed data fixes this mistake and formats the data better for a csv
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:1000000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:88.8813, Data: 98.9619, 103.549, 105.546, 106.951, 107.799, 108.304, 108.951, 108.929, 107.999, 109.585, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:2000000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:26.0657, Data: 29.5693, 30.3291, 30.6002, 31.0233, 31.6785, 31.9086, 31.9161, 31.9229, 31.9077, 31.9331, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:5000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1863.46, Data: 2280.48, 2184.12, 2190.67, 2251.89, 2229.38, 2225.8, 2259.84, 2281.45, 2227.21, 2230.67, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:10000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1822.8, Data: 2213.85, 2257.6, 2214.33, 2246.76, 2189.22, 2154.49, 2162.25, 2132.88, 2135.64, 2166.59, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:25000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1791.98, Data: 2152.94, 2065.67, 2149.83, 2176.01, 2132.55, 2148.46, 2186.48, 2160.7, 2147.78, 2183.34, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:50000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1510.49, Data: 1797.07, 1791.55, 1813.87, 1834.97, 1826.39, 1823.55, 1828.94, 1797.48, 1798.91, 1813.14, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:100000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1296.18, Data: 1582.96, 1554.57, 1589.86, 1554.82, 1554.78, 1540.91, 1539.72, 1548.72, 1537.65, 1550.18, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:250000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:647.645, Data: 754.023, 760.751, 761.649, 770.555, 773.441, 786.147, 787.83, 772.747, 801.208, 803.39, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:500000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:267.031, Data: 300.708, 317.285, 319.83, 323.745, 324.911, 328.946, 321.887, 319.705, 325.777, 321.576, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:1000000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:83.1176, Data: 97.2266, 99.8487, 99.7886, 99.6893, 100.998, 100.73, 100.195, 99.1731, 100.277, 99.4834, 
